100033819	P06400	3.82602e-01	SPIKE
100126334	P24941	3.82602e-01	SPIKE
100302187	P42684	3.82602e-01	SPIKE
100302193	Q9H9Z2	3.82602e-01	SPIKE
10984	Q15022	3.82602e-01	SPIKE
114614	P17947	3.82602e-01	SPIKE
114614	P61586	3.82602e-01	SPIKE
114614	Q13158	3.82602e-01	SPIKE
114614	Q13546	3.82602e-01	SPIKE
114614	Q14164	3.82602e-01	SPIKE
114614	Q96A56	3.82602e-01	SPIKE
119369	P35542	3.82602e-01	SPIKE
120329	P55210	3.82602e-01	SPIKE
120329	P55211	3.82602e-01	SPIKE
145624	Q14344	3.82602e-01	SPIKE
145781	B2RTY4	3.82602e-01	SPIKE
145781	O14949	3.82602e-01	SPIKE
145781	O15304	3.82602e-01	SPIKE
145781	P05090	3.82602e-01	SPIKE
145781	P35998	3.82602e-01	SPIKE
